Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,World Music Fans,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Activewear,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +15%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Socks,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Cycling Enthusiasts,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Travel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Sunglasses,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Media Fans,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,"Wallets, Briefcases & Leather Goods",In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Women's Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Yoga Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Enthusiasts,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Swimwear,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
